"","Full_Date","Date","Day","Inflation","Interest_Rate","Deposit.facility","Marginal.lending.facility","BCI","LT","ST"
"272","2021-08-01",2021,"01-Jan",2.9,0,"−0.50",0.25,102.7739,0.0598,-0.5476
"273","2021-09-01",2021,"01-Jan",2.9,0,"−0.50",0.25,102.7676,0.1967,-0.545
"274","2021-10-01",2021,"01-Jan",2.9,0,"−0.50",0.25,102.7757,0.3523,-0.5498
"275","2021-11-01",2021,"01-Jan",2.9,0,"−0.50",0.25,102.8297,0.3123,-0.5674
"276","2021-12-01",2021,"01-Jan",2.9,0,"−0.50",0.25,102.8225,0.2791,-0.582
"277","2022-01-01",2022,"27 Jul.",9.3,0,"0.00",1.15,102.7005,0.534,-0.5601
"278","2022-02-01",2022,"27 Jul.",9.3,0,"0.00",1.15,102.4748,0.9442,-0.5315
"279","2022-03-01",2022,"27 Jul.",9.3,0,"0.00",1.15,102.1503,1.0542,-0.4954
"280","2022-04-01",2022,"27 Jul.",9.3,0,"0.00",1.15,101.8862,1.5682,-0.4479
"281","2022-05-01",2022,"27 Jul.",9.3,0,"0.00",1.15,101.6716,1.8742,-0.3857
"282","2022-06-01",2022,"27 Jul.",9.3,0,"0.00",1.15,101.3321,2.4373,-0.2392
"283","2022-07-01",2022,"27 Jul.",9.3,0.5,"0.00",1.15,100.8659,2.0925,0.0366
"284","2022-08-01",2022,"27 Jul.",9.3,0.5,"0.00",1.15,100.3979,2.0582,0.3947
"285","2022-09-01",2022,"27 Jul.",9.3,1.25,"0.00",1.15,100.039,2.8138,1.0109
"286","2022-10-01",2022,"27 Jul.",9.3,1.25,"0.00",1.15,99.88519,3.185,1.4277
"287","2022-11-01",2022,"27 Jul.",9.3,2,"0.00",1.15,99.8513,2.9341,1.8252
"288","2022-12-01",2022,"27 Jul.",9.3,2.5,"0.00",1.15,99.94123,3.0002,2.0635
"289","2023-01-01",2023,"8 feb.",6.5,2.5,"2.50",3.25,100.1029,3.0442,2.3449
